ticker,name,region,bench
LOW,Lowe's,US,^GSPC
PFE,Pfizer,US,^GSPC
AMGN,Amgen,US,^GSPC
GILD,Gilead,US,^GSPC
ISRG,Intuitive Surgical,US,^GSPC
NOW,ServiceNow,US,^GSPC
UBER,Uber,US,^GSPC
PLTR,Palantir,US,^GSPC
SAP.DE,SAP,DE,^GDAXI
SIE.DE,Siemens,DE,^GDAXI
ALV.DE,Allianz,DE,^GDAXI
DTE.DE,Deutsche Telekom,DE,^GDAXI
BAS.DE,BASF,DE,^GDAXI
BAYN.DE,Bayer,DE,^GDAXI
BMW.DE,BMW,DE,^GDAXI
MBG.DE,Mercedes-Benz,DE,^GDAXI
VOW3.DE,Volkswagen,DE,^GDAXI
DBK.DE,Deutsche Bank,DE,^GDAXI
DB1.DE,Deutsche Boerse,DE,^GDAXI
MUV2.DE,Munich Re,DE,^GDAXI
RWE.DE,RWE,DE,^GDAXI
IFX.DE,Infineon,DE,^GDAXI
ADS.DE,Adidas,DE,^GDAXI
HEI.DE,Heidelberg Materials,DE,^GDAXI
RHM.DE,Rheinmetall,DE,^GDAXI
ZAL.DE,Zalando,DE,^GDAXI
MC.PA,LVMH,FR,^FCHI
OR.PA,L'Oreal,FR,^FCHI
TTE.PA,TotalEnergies,FR,^FCHI
SAN.PA,Sanofi,FR,^FCHI
AI.PA,Air Liquide,FR,^FCHI
SU.PA,Schneider Electric,FR,^FCHI
BNP.PA,BNP Paribas,FR,^FCHI
AIR.PA,Airbus,FR,^FCHI
DG.PA,Vinci,FR,^FCHI
KER.PA,Kering,FR,^FCHI
RI.PA,Pernod Ricard,FR,^FCHI
CAP.PA,Capgemini,FR,^FCHI
EL.PA,EssilorLuxottica,FR,^FCHI
SGO.PA,Saint-Gobain,FR,^FCHI
ACA.PA,Credit Agricole,FR,^FCHI
AZN.L,AstraZeneca,UK,^FTSE
SHEL.L,Shell,UK,^FTSE
HSBA.L,HSBC,UK,^FTSE
ULVR.L,Unilever,UK,^FTSE
BP.L,BP,UK,^FTSE
GSK.L,GSK,UK,^FTSE
RIO.L,Rio Tinto,UK,^FTSE
REL.L,RELX,UK,^FTSE
LSEG.L,London Stock Exchange Group,UK,^FTSE
BARC.L,Barclays,UK,^FTSE
VOD.L,Vodafone,UK,^FTSE
TSCO.L,Tesco,UK,^FTSE
PRU.L,Prudential,UK,^FTSE
BA.L,BAE Systems,UK,^FTSE
LLOY.L,Lloyds,UK,^FTSE
7203.T,Toyota,JP,^N225
6758.T,Sony,JP,^N225
9984.T,SoftBank Group,JP,^N225
8306.T,Mitsubishi UFJ,JP,^N225
6861.T,Keyence,JP,^N225
9432.T,NTT,JP,^N225
8035.T,Tokyo Electron,JP,^N225
4063.T,Shin-Etsu Chemical,JP,^N225
6501.T,Hitachi,JP,^N225
7974.T,Nintendo,JP,^N225
9983.T,Fast Retailing,JP,^N225
8058.T,Mitsubishi Corp,JP,^N225
8001.T,Itochu,JP,^N225
6902.T,Denso,JP,^N225
7267.T,Honda,JP,^N225
6954.T,Fanuc,JP,^N225
4502.T,Takeda,JP,^N225
6098.T,Recruit,JP,^N225
8766.T,Tokio Marine,JP,^N225
6367.T,Daikin,JP,^N225
BHP.AX,BHP,AU,^AXJO
CBA.AX,Commonwealth Bank,AU,^AXJO
CSL.AX,CSL,AU,^AXJO
NAB.AX,National Australia Bank,AU,^AXJO
WBC.AX,Westpac,AU,^AXJO
ANZ.AX,ANZ,AU,^AXJO
WES.AX,Wesfarmers,AU,^AXJO
MQG.AX,Macquarie,AU,^AXJO
FMG.AX,Fortescue,AU,^AXJO
WDS.AX,Woodside Energy,AU,^AXJO
TLS.AX,Telstra,AU,^AXJO
D05.SI,DBS Group,SG,^STI
O39.SI,OCBC,SG,^STI
U11.SI,UOB,SG,^STI
Z74.SI,Singtel,SG,^STI
C6L.SI,Singapore Airlines,SG,^STI
S63.SI,ST Engineering,SG,^STI
G13.SI,Genting Singapore,SG,^STI
C38U.SI,CapitaLand Integrated Commercial Trust,SG,^STI
